Barcode|DateTime
230210V021480T|20230228051431
230210V021470T|20230228051434
230210V021460T|20230228051437
230210V021450T|20230228051440
230210V021440T|20230228051443
230210V021430T|20230228051445
230210V021420T|20230228051448
230210V021600T|20230228051512
230210V021590T|20230228051515
230210V021580T|20230228051520
230210V021570T|20230228051524
230210V021560T|20230228051528
230210V021550T|20230228051538
230210V021540T|20230228051543
230210V021530T|20230228051547
230210V021520T|20230228051552
230210V021510T|20230228051601
230210V021700T|20230228051608
230210V021690T|20230228051612
230210V021680T|20230228051616
230210V021670T|20230228051621
230210V021660T|20230228051624
230210V021650T|20230228051628
230210V021640T|20230228051631
230210V021630T|20230228051636
230210V021620T|20230228051639
230210V021610T|20230228051643
230210V021710T|20230228051647
230210V021720T|20230228051650
230210V021730T|20230228051654
230210V021740T|20230228051701
230210V021750T|20230228051705
230210V021760T|20230228051709
230210V021770T|20230228051713
230210V021780T|20230228051717
230210V021790T|20230228051720
230210V021800T|20230228051724
230210V021210T|20230228051807
230210V021000T|20230228060855
230210V020990T|20230228060900
230210V020980T|20230228060905
230210V020970T|20230228060909
230210V020960T|20230228060912
230210V020950T|20230228060917
230210V020940T|20230228060920
230210V020930T|20230228060923
230210V020920T|20230228060930
230210V020910T|20230228060935
230210V021010T|20230228060940
230210V021020T|20230228060943
230210V021030T|20230228060945
230210V021040T|20230228060948
230210V021050T|20230228060959
230210V021060T|20230228061002
230210V021070T|20230228061003
230210V021080T|20230228061010
230210V021090T|20230228061014
230210V021100T|20230228061029
230210V021110T|20230228061034
230210V021120T|20230228061039
230210V021130T|20230228061043
230210V021140T|20230228061047
230210V021150T|20230228061051
230210V021160T|20230228061056
230210V021170T|20230228061101
230210V021180T|20230228061105
230210V021190T|20230228061110
230210V020410T|20230228070102
230210V020420T|20230228070113
230210V020430T|20230228070116
230210V020440T|20230228070119
230210V020450T|20230228070122
230210V020460T|20230228070132
230210V020470T|20230228070135
230210V020480T|20230228070139
230210V020490T|20230228070142
230210V020500T|20230228070147
230210V020310T|20230228070152
230210V020320T|20230228070155
230210V020330T|20230228070159
230210V020340T|20230228070202
230210V020350T|20230228070205
230210V020360T|20230228070210
230210V020370T|20230228070214
230210V020380T|20230228070217
230210V020390T|20230228070220
230210V020400T|20230228070223
230210V020210T|20230228070229
230210V020220T|20230228070232
230210V020230T|20230228070235
230210V020240T|20230228070238
230210V020250T|20230228070241
230210V020260T|20230228070245
230210V020270T|20230228070248
230210V020280T|20230228070251
230210V020290T|20230228070254
230210V020300T|20230228070259
230210V020110T|20230228070303
230210V020120T|20230228070306
230210V020600T|20230228070328
230210V020590T|20230228070332
230210V020580T|20230228070334
230210V020570T|20230228070346
230210V020560T|20230228070350
230210V020550T|20230228070355
230210V020540T|20230228081204
230210V020530T|20230228081212
230210V020520T|20230228081216
230210V020510T|20230228081220
230210V020700T|20230228081227
230210V020690T|20230228081232
230210V020680T|20230228081236
230210V020670T|20230228081254
230210V020660T|20230228081306
230210V020650T|20230228081311
230210V020640T|20230228081317
230210V020630T|20230228081325
230210V020620T|20230228081330
230210V020610T|20230228081336
230210V020800T|20230228081344
230210V020790T|20230228081348
230210V020780T|20230228081351
230210V020770T|20230228081355
230210V020760T|20230228081359
230210V020750T|20230228081405
230210V020740T|20230228081409
230210V020730T|20230228081415
230210V020720T|20230228081419
230210V020710T|20230228081423
230210V020900T|20230228081426
230210V020890T|20230228081429
230210V020880T|20230228081434
230210V020870T|20230228081437
230210V020860T|20230228081440
230210V020850T|20230228081446
230210V020840T|20230228081451
230210V020830T|20230228081456
230210V020820T|20230228081500
230210V020810T|20230228081505
230210V021810T|20230228081517
230210V021820T|20230228081522
230210V021840T|20230228081528
230210V021850T|20230228081533
230210V021860T|20230228081538
230210V021870T|20230228081544
230210V021880T|20230228081606
230210V021890T|20230228081612
230210V021900T|20230228081617
230210V021830T|20230228081738
230210V021910T|20230228081813
230210V021920T|20230228081817
230210V021930T|20230228081822
230210V021940T|20230228081826
230210V022000T|20230228091438
230210V021990T|20230228091441
230210V021980T|20230228091445
230210V021970T|20230228091452
230210V021960T|20230228091455
230210V021950T|20230228091500
230210V022100T|20230228091504
230210V022090T|20230228091508
230210V022080T|20230228091511
230210V022070T|20230228091514
230210V022060T|20230228091517
230210V022050T|20230228091520
230210V022040T|20230228091523
230210V022030T|20230228091526
230210V022020T|20230228091531
230210V022010T|20230228091535
230210V022200T|20230228091539
230210V022190T|20230228091542
230210V022180T|20230228091546
230210V022170T|20230228091550
230210V022160T|20230228091554
230210V022150T|20230228091557
230210V022140T|20230228091600
230210V022130T|20230228091604
230210V022120T|20230228091608
230210V022110T|20230228091612
230210V022300T|20230228091617
230210V022290T|20230228091621
230210V022280T|20230228091624
230210V022270T|20230228091629
230210V022260T|20230228091633
230210V022250T|20230228091638
230210V022240T|20230228091652
230210V022230T|20230228091655
230210V022220T|20230228091659
230210V022210T|20230228091703
230210V022400T|20230228091709
230210V022390T|20230228091712
230210V022380T|20230228091716
230210V022370T|20230228091721
230210V022360T|20230228091724
230210V022350T|20230228091728
230210V022340T|20230228091731
230210V022330T|20230228091734
230210V022320T|20230228091737
230210V022310T|20230228091745
230210V022500T|20230228091800
230210V022490T|20230228091803
230210V022480T|20230228091806
230210V022470T|20230228091810
230210V022460T|20230228091812
230210V022450T|20230228091816
230210V022440T|20230228091819
230210V022430T|20230228091843
230210V022420T|20230228091846
230210V022410T|20230228091849
230210V022600T|20230228091907
230210V022590T|20230228091922
